t,Yar,Yar+,Yar*,Ye-,Nar+,Nar*,Te,ydot0,ydot1,ydot2,term4,qu,hu
0.0000570000,0.9986333876,0.0013656118,0.0000009819,0.0000000188,219487172863780352.0000000000,157810221791231.9375000000,20806.0256841324,-15.7020037701,-0.0003075579,-36.4994397851,5.2362049100,4,0.0000013904
0.0000580000,0.9986333876,0.0013656118,0.0000009819,0.0000000188,219487172863780352.0000000000,157810221791231.9375000000,20806.0256841324,-15.7020037701,-0.0003075579,-36.4994397851,5.2362049100,4,0.0000013904
0.0000590000,0.9986550422,0.0013439579,0.0000009815,0.0000000185,216011524619260448.0000000000,157744916906741.7187500000,20460.1182700746,-15.4451944748,-0.0003074240,-34.3206878406,4.3211101406,4,0.0000013904
0.0000600000,0.9986587156,0.0013402846,0.0000009814,0.0000000184,215421920611074656.0000000000,157733714398769.1250000000,20407.9823437752,-15.4001674145,-0.0003074010,2965.9030642423,4.1942580722,5,0.0000000003
0.0000610000,0.9985541933,0.0014448058,0.0000009811,0.0000000198,232197224551868000.0000000000,157666219952891.0000000000,47114.4629630689,259.4782216084,-0.0003073015,1023.4247227532,1863.5355309141,4,0.0000000673
0.0000620000,0.9982671758,0.0017318196,0.0000009808,0.0000000238,278243958920719360.0000000000,157573327358114.0625000000,47083.5197147642,309.7064920706,-0.0003072085,-2360.3321669059,2225.0702658548,4,0.0000000001
0.0000630000,0.9981562956,0.0018426986,0.0000009805,0.0000000253,296025642706134912.0000000000,157505404906632.2500000000,33874.7650567958,31.8510071079,-0.0003071101,-480.8029428543,392.9997481265,4,0.0000000745
0.0000640000,0.9981434441,0.0018555503,0.0000009801,0.0000000255,298086407890581376.0000000000,157446380261452.5000000000,29798.6263334220,-1.5500976374,-0.0003069989,-237.8206789213,164.8872356782,4,0.0000001909
0.0000650000,0.9981486763,0.0018503185,0.0000009798,0.0000000254,297247488202210496.0000000000,157404755210564.5312500000,28133.3631663439,-9.6097676703,-0.0003069161,-173.6005335870,106.8904158010,5,0.0000002880
0.0000660000,0.9981630126,0.0018359827,0.0000009795,0.0000000252,294948724343911488.0000000000,157350211138457.2812500000,26613.8465803467,-14.6181326056,-0.0003068054,-129.2081435885,68.3120891659,5,0.0000002880
0.0000670000,0.9981777624,0.0018212334,0.0000009792,0.0000000250,292583560860222080.0000000000,157306367682086.4687500000,25701.5258074578,-16.6796252256,-0.0003067154,-108.0719448744,50.7495957174,5,0.0000003606
0.0000680000,0.9981965934,0.0018024030,0.0000009789,0.0000000248,289563884624084416.0000000000,157256028228880.0937500000,24859.9609071268,-18.0206675860,-0.0003066115,-91.7121298310,37.7510548066,5,0.0000003606
0.0000690000,0.9982137946,0.0017852023,0.0000009786,0.0000000245,286805440368730016.0000000000,157212670594315.5000000000,24258.3132859106,-18.6768143994,-0.0003065217,-81.6334453046,30.1198360686,5,0.0000005746
0.0000700000,0.9982376277,0.0017613699,0.0000009782,0.0000000242,282983322859868768.0000000000,157154386336930.9062500000,23569.0572684465,-19.1467760271,-0.0003064008,-71.5545964758,22.8844301177,5,0.0000004199
0.0000710000,0.9982538023,0.0017451958,0.0000009779,0.0000000240,280389309166340384.0000000000,157115587041853.6250000000,23172.8045259777,-19.2875750061,-0.0003063202,-66.3841867089,19.3750603802,5,0.0000004199
0.0000720000,0.9982700166,0.0017289819,0.0000009777,0.0000000237,277788825303577888.0000000000,157076803610475.2500000000,22809.6680332619,-19.3423111387,-0.0003062396,-62.0185016835,16.5395477783,5,0.0000004199
0.0000730000,0.9982944000,0.0017045993,0.0000009773,0.0000000234,273878033831097792.0000000000,157018656172881.5937500000,22323.5297676380,-19.3060622583,-0.0003061188,-56.6661530665,13.2585225546,5,0.0000004199
0.0000740000,0.9983105525,0.0016884472,0.0000009770,0.0000000232,271287248726815040.0000000000,156979887089727.4687500000,22024.7768961678,-19.2298516506,-0.0003060383,-53.6458785599,11.5125123776,5,0.0000004199
0.0000750000,0.9983267011,0.0016722991,0.0000009768,0.0000000230,268697022478241632.0000000000,156941126992277.5312500000,21751.9406600676,-19.1199038467,-0.0003059578,-51.0333057721,10.0785130102,5,0.0000004199
0.0000760000,0.9983506418,0.0016483592,0.0000009764,0.0000000226,264856800352935776.0000000000,156882960661899.4062500000,21365.9235826283,-18.9157988761,-0.0003058371,-47.5926734289,8.2977675876,5,0.0000004199
0.0000770000,0.9983664931,0.0016325084,0.0000009761,0.0000000224,262314057067443744.0000000000,156844178046514.3750000000,21129.8266176833,-18.7582829946,-0.0003057566,-45.6087817022,7.3374585105,5,0.0000004199
0.0000780000,0.9983899553,0.0016090469,0.0000009757,0.0000000221,258550280861877056.0000000000,156785972908211.9062500000,20792.8420522910,-18.5018168206,-0.0003056360,-42.9434769491,6.1245158151,5,0.0000004199
0.0000790000,0.9984054097,0.0015935930,0.0000009755,0.0000000219,256071014171406880.0000000000,156747152251653.1875000000,20580.7097834377,-18.3205115686,-0.0003055556,-41.3542533710,5.4478667060,5,0.0000004199
0.0000800000,0.9984195862,0.0015794168,0.0000009753,0.0000000217,253796671030166432.0000000000,156711235066439.9062500000,20398.1664698653,-18.1477132800,-0.0003054813,2959.8736647267,4.9138661762,5,0.0000000003
0.0000810000,0.9983399247,0.0016590776,0.0000009749,0.0000000228,266576170199108320.0000000000,156649063429291.1875000000,44872.8492783179,231.1343246099,-0.0003053844,1179.9897695445,1699.3569972409,3,0.0000000554
0.0000820000,0.9980589021,0.0019400966,0.0000009746,0.0000000266,311642124873674816.0000000000,156556718559006.7500000000,45919.4560269569,305.0703048456,-0.0003052900,-2362.6154715240,2216.6619002866,2,0.0000000001
0.0000830000,0.9979458766,0.0020531209,0.0000009743,0.0000000282,329760274655136128.0000000000,156488539590779.7187500000,33643.1247383837,32.6615316573,-0.0003051914,-515.5750980776,418.7366836294,4,0.0000000986
0.0000840000,0.9979330752,0.0020659224,0.0000009740,0.0000000284,331812137552114752.0000000000,156431492938284.2187500000,29772.6555232539,-1.9085502372,-0.0003050841,-263.4121506425,182.3048307151,5,0.0000001543
0.0000850000,0.9979397580,0.0020592400,0.0000009737,0.0000000283,330741063766496448.0000000000,156387170772297.8750000000,28016.1923505778,-11.2241303333,-0.0003049956,-188.9043817416,115.1145743791,5,0.0000001543
0.0000860000,0.9979524789,0.0020465196,0.0000009734,0.0000000281,328702170119374144.0000000000,156343803238905.1562500000,26784.5870769626,-15.7693477485,-0.0003049071,-148.6993815452,80.1535708647,5,0.0000001543
0.0000870000,0.9979711699,0.0020278292,0.0000009731,0.0000000278,325706286827462848.0000000000,156293823508626.9375000000,25708.3220518058,-18.5613478762,-0.0003048040,-120.4591159948,56.5975741505,5,0.0000001543
0.0000880000,0.9979908274,0.0020081722,0.0000009728,0.0000000276,322555344453770880.0000000000,156247093156296.7500000000,24910.2943616917,-19.9941794986,-0.0003047069,-103.0980612979,42.7821909974,5,0.0000002362
0.0000890000,0.9980098144,0.0019891858,0.0000009725,0.0000000273,319511774547135872.0000000000,156204570240752.3125000000,24305.1353361443,-20.7497349856,-0.0003046182,-91.7010891531,34.1233803105,4,0.0000004570
0.0000900000,0.9980387175,0.0019602835,0.0000009721,0.0000000269,314878447857237440.0000000000,156142003683034.2812500000,23555.0209474636,-21.3252075352,-0.0003044874,-79.4438458816,25.3144739052,4,0.0000004570
0.0000910000,0.9980667661,0.0019322357,0.0000009717,0.0000000265,310381842378670656.0000000000,156082400449818.2812500000,22952.1873480054,-21.5218299179,-0.0003043626,-70.9107728504,19.5956709300,4,0.0000008512
0.0000920000,0.9980850946,0.0019139077,0.0000009714,0.0000000263,307443380940788160.0000000000,156043643451983.6250000000,22604.1603321517,-21.5357173174,-0.0003042815,-66.4573382302,16.7835803571,4,0.0000008512
0.0000930000,0.9981034169,0.0018955859,0.0000009712,0.0000000260,304505788581546816.0000000000,156004895181735.3750000000,22284.2961077647,-21.4879135450,-0.0003042004,-62.6406247437,14.4857784998,4,0.0000008512
0.0000940000,0.9981216765,0.0018773268,0.0000009709,0.0000000258,301578152815919488.0000000000,155966146814415.9375000000,21987.3106527403,-21.3949159872,-0.0003041193,-59.3184266345,12.5803302474,4,0.0000008512
0.0000950000,0.9981398359,0.0018591679,0.0000009706,0.0000000255,298666482572297408.0000000000,155927392522950.9375000000,21709.4758770457,-21.2681375103,-0.0003040382,-56.3910831788,10.9822384472,4,0.0000008512
0.0000960000,0.9981757750,0.0018232298,0.0000009701,0.0000000250,292903708721274560.0000000000,155849853916337.6250000000,21202.0173217681,-20.9436846735,-0.0003038761,-51.4550583773,8.4811670727,4,0.0000008512
0.0000970000,0.9981935251,0.0018054803,0.0000009699,0.0000000248,290057361912365248.0000000000,155811065014404.9687500000,20968.6131460797,-20.7568506022,-0.0003037951,-49.3477798977,7.4954616059,4,0.0000008512
0.0000980000,0.9982244387,0.0017745676,0.0000009694,0.0000000244,285099916489881856.0000000000,155742581292884.2187500000,20583.2655914115,-20.4016702886,-0.0003036522,-46.0740712973,6.0711926502,5,0.0000015020
0.0000990000,0.9982244387,0.0017745676,0.0000009694,0.0000000244,285099916489881856.0000000000,155742581292884.2187500000,20583.2655914115,-20.4016702886,-0.0003036522,-46.0740712973,6.0711926502,5,0.0000015020
0.0001000000,0.9982412320,0.0017577747,0.0000009692,0.0000000241,282406732633638176.0000000000,155704837985885.4062500000,20388.1439472432,-20.1967238262,-0.0003035735,2955.4026204000,5.4373644141,5,0.0000000003
0.0001010000,0.9981701765,0.0018288295,0.0000009688,0.0000000251,293801667198417920.0000000000,155643463609590.6562500000,43585.5197670922,216.9274819076,-0.0003034754,1249.3916323749,1623.2911102441,4,0.0000000680
0.0001020000,0.9979027943,0.0020962083,0.0000009686,0.0000000288,336666248044594112.0000000000,155554765654656.6250000000,45143.2228027247,301.1433389441,-0.0003033834,-2360.9654954984,2207.2432048151,4,0.0000000002
0.0001030000,0.9977895567,0.0022094447,0.0000009682,0.0000000303,354812737426241600.0000000000,155488060565847.9375000000,33618.2322516984,34.7997924958,-0.0003032876,-552.3675246169,448.2639896151,4,0.0000000797
0.0001040000,0.9977760458,0.0022229558,0.0000009679,0.0000000305,356977657448489536.0000000000,155430036397025.8125000000,29704.4093207560,-2.5297638034,-0.0003031785,-279.7965315703,192.8167439849,4,0.0000002396
0.0001050000,0.9977839020,0.0022151000,0.0000009676,0.0000000304,355718906230128640.0000000000,155384595886968.5000000000,27919.2143491226,-12.5321150155,-0.0003030875,-199.4571432287,120.4869947392,4,0.0000002396
0.0001060000,0.9978035850,0.0021954176,0.0000009672,0.0000000301,352565073324782656.0000000000,155327031145982.6875000000,26370.0331320344,-18.2635961450,-0.0003029692,-147.5153531425,75.6777050881,5,0.0000003832
0.0001070000,0.9978183225,0.0021806805,0.0000009670,0.0000000299,350203573228507008.0000000000,155292031882869.1250000000,25649.6153259623,-20.1096155519,-0.0003028965,-128.1202139130,59.6728693295,5,0.0000003832
0.0001080000,0.9978520475,0.0021469564,0.0000009665,0.0000000295,344799300411219456.0000000000,155220085245925.5625000000,24484.9009168074,-22.1195091064,-0.0003027460,-102.1480672961,39.3039410248,4,0.0000008205
0.0001090000,0.9978630598,0.0021359445,0.0000009664,0.0000000293,343034557539699072.0000000000,155197765331695.0000000000,24183.8094283341,-22.4592174511,-0.0003026991,-96.3920321163,35.0220074037,4,0.0000004942
0.0001100000,0.9978854955,0.0021135094,0.0000009661,0.0000000290,339439064960206592.0000000000,155153198841482.6250000000,23644.7548283961,-22.8969757315,-0.0003026054,-86.9529616489,28.2503978829,4,0.0000004942
